Text,Label
"The Pythagorean theorem relates sides of a triangle",Math
"An angle greater than 90 degrees is called obtuse",Math
"Algebra involves solving equations using variables",Math
"Fractions represent parts of a whole",Math
"A square has four equal sides and four right angles",Math
"Calculus studies change using derivatives",Math
"Geometry focuses on shapes, lines, and angles",Math
"A negative times a negative gives a positive",Math
"Multiplying exponents adds their powers",Math
"Probability measures chances of events occurring",Math
"Photosynthesis converts sunlight into food in plants",Science
"Gravity pulls objects toward each other",Science
"Cells are the basic building blocks of life",Science
"Water boils at 100 degrees Celsius",Science
"The periodic table organizes chemical elements",Science
"Electricity flows through conductors",Science
"Newton's laws describe motion and forces",Science
"The heart pumps blood throughout the body",Science
"DNA carries genetic instructions",Science
"Magnetism is a force produced by moving electric charges",Science
"World War I began in 1914",History
"The Declaration of Independence was signed in 1776",History
"Ancient Egypt built pyramids for pharaohs",History
"Mahatma Gandhi led India's independence movement",History
"The Berlin Wall fell in 1989",History
"The Renaissance was a cultural revival in Europe",History
"Napoleon was a French military leader",History
"The Cold War was a period of political tension",History
"The Industrial Revolution began in Britain",History
"Julius Caesar was assassinated in 44 BC",History
